message,cleaned,predicted,tags,inquiry,ALL_Categories
منور يادكتوره ديما ياااارب من نجاح لنجاح ربنا يسعد  حضرتك ياااارب,منور يا دكتوره ديما يا رب من نجاح لنجاح ربنا يسعد حضرتك يا رب,pos,,0,Positive-Feedback
ربنا يبارك فيكي ياررررب يااطيب دكتوره ,ربنا يبارك فيكي يا رب يا طيب دكتوره,pos,,0,Positive-Feedback
ربنا يبارك لك من احسن الدكاتره اللي ممكن تقابلهم في حياتك علما وخلفا,ربنا يبارك لك من احسن الدكاتره اللي ممكن تقابلهم في حياتك علما وخلفا,pos,,1,Positive-Feedback
مزيد من التوفيق د رشا,مزيد من التوفيق د رشا,pos,,0,Positive-Feedback
السلام عليكم ورحمه الله وبركاته لوسمحتى يا دكتوره انا كل فتره خاصة  في الشتاء يجلى الم فظيع مكان الكلى اخدحقنه مسكنه ويعدى  من فتره كشفت وعملت اشعه الدكتوره قالت لي في كيس دهني على الكلى لازم نعمل اشعه بعد ٦اشهر عشان اشوفه بيكبر ولا لاءه,السلام عليكم ورحمه الله وبركاته لوسمحتي يا دكتوره انا كل فتره خاصة في الشتاء يجلي الم فظيع مكان الكلي اخدحقنه مسكنه ويعدي من فتره كشفت وعملت اشعه الدكتوره قالت لي في كيس دهني علي الكلي لازم نعمل اشعه بعد ٦اشهر عشان اشوفه بيكبر ولا لاءه,obj,Medical_consult-place-,1,Mixed-Inquiries
ممتاز,ممتاز,pos,,0,Positive-Feedback
واحشتينا جدا وربنا يوفقك ونسوفك في اعلي المراكز يارب,واحشتينا جدا وربنا يوفقك ونسوفك في اعلي المراكز يا رب,pos,Medical_consult-,1,Positive-Feedback
كلام مهم جدا  كل الشكر والتقدير وجزاكم الله كل خير وربنا يشفي كل مريض يارب,كلام مهم جدا كل الشكر والتقدير وجزاكم الله كل خير وربنا يشفي كل مريض يا رب,pos,,0,Positive-Feedback
ربنا يوفقك يااعظم دكتورة يارب وحزاك الله كل خير امين يارب,ربنا يوفقك يا عظم دكتورة يا رب وحزاك الله كل خير امين يا رب,pos,,0,Positive-Feedback
افادك الله,افادك الله,pos,,0,Positive-Feedback
البكيني,البكيني,obj,,0,General Conversation
ممكن السعر,ممكن السعر,obj,price-,1,Price-Inquiry
هى دي عملية الليزك,هي دي عملية الليزك,obj,Medical_consult-,1,Medical-Consultation
بكام الوجة,بكام الوجة,obj,price-,1,Price-Inquiry
ممكن سعر العرض و العنوان  ,ممكن سعر العرض و العنوان,obj,price-place-,1,Mixed-Inquiries
ممكن سعر العرض,ممكن سعر العرض,obj,price-,1,Price-Inquiry
ممكن الاسعار و العروض,ممكن الاسعار و العروض,obj,price-insurance-,1,Mixed-Inquiries
ممكن التفاصيل لو سمحتم,ممكن التفاصيل لو سمحتم,obj,Booking-,1,Booking-Inquiry
ممكن الأسعار و العروض ,ممكن الاسعار و العروض,obj,price-insurance-,1,Mixed-Inquiries
ممكن تفاصيل واسعار,ممكن تفاصيل واسعار,obj,price-,1,Price-Inquiry
يا ريت تفاصيل اكتر,يا ريت تفاصيل اكتر,obj,,1,General-Inquiry
ياريت تفاصيل واسعار,يا ريت تفاصيل واسعار,obj,price-,1,Price-Inquiry
بيسيب أثر ع الجلد بعدها واكيد الشعر مبيطلعش تاني ,بيسيب اثر ع الجلد بعدها واكيد الشعر مبيطلعش تاني,obj,Medical_consult-,1,Medical-Consultation
البكيني وممكن تفاصيل أكثر,البكيني وممكن تفاصيل اكثر,obj,,1,General-Inquiry
بكام منطقة البكيني لو سمحت,بكام منطقة البكيني لو سمحت,obj,price-,1,Price-Inquiry
بكام ,بكام,obj,price-,1,Price-Inquiry
ربنا يشفى كل مريض يارب العالمين,ربنا يشفي كل مريض يا رب العالمين,obj,,0,General Conversation
بارك الله فيهم بجد انا روحت يوم واحد بس فعلا اهتمام ودكاترة كويسة والمعاملة,بارك الله فيهم بجد انا روحت يوم واحد بس فعلا اهتمام ودكاترة كويسة والمعاملة,pos,datetime-,1,Positive-Feedback
"حقيقي من افضل وانظف المستشفيات اللي اتعاملنا معاها ومازلنا 
ربنا يعفو عننا وعن الجميع",حقيقي من افضل وانظف المستشفيات اللي اتعاملنا معاها ومازلنا ربنا يعفو عننا وعن الجميع,pos,,0,Positive-Feedback
اعظم شىء الإنسانية شىء جميل جدا,اعظم شيء الانسانية شيء جميل جدا,pos,,0,Positive-Feedback
بس بكام في الشهر ورعايه ٢٤ساعه,بس بكام في الشهر ورعايه ٢٤ساعه,obj,price-,1,Price-Inquiry
ربنا يشفى الجميع,ربنا يشفي الجميع,obj,,0,General Conversation
ربنا يشفي,ربنا يشفي,obj,,0,General Conversation
ربنا يشفى  كل مريض ويعدى الايام العجاف على خير,ربنا يشفي كل مريض ويعدي الايام العجاف علي خير,obj,,0,General Conversation
في تحليل كورونا يافندم,في تحليل كورونا يا فندم,obj,Medical_consult-,1,Medical-Consultation
بس بكام في الشهر يافندم,بس بكام في الشهر يا فندم,obj,price-,1,Price-Inquiry
ربنا يشفيه ويعافيه ويقومه بالسلامة كل مريض يتألم من مرضى وجعله في ميزان حسناتكم,ربنا يشفيه ويعافيه ويقومه بالسلامة كل مريض يتالم من مرضي وجعله في ميزان حسناتكم,pos,,0,Positive-Feedback
ربنا يشفيه ويعافيه كل مريض يارب العالمين,ربنا يشفيه ويعافيه كل مريض يا رب العالمين,obj,,0,General Conversation
ربنا يشفي كل مرضى المسلمين يارب العالمين,ربنا يشفي كل مرضي المسلمين يا رب العالمين,obj,,0,General Conversation
كام تكلفة اشعة اكس راي بالمنزل وسونار,كام تكلفة اشعة اكس راي بالمنزل وسونار,obj,price-,1,Price-Inquiry
مستشفى رائعه,مستشفي رائعه,pos,,0,Positive-Feedback
"الاسعار كام الكشف 
ولو زادت عن الكشف",الاسعار كام الكشف ولو زادت عن الكشف,obj,price-,1,Price-Inquiry
جزاكم الله خيرا الجزاء,جزاكم الله خيرا الجزاء,pos,,0,Positive-Feedback
مستشفى رائعه خدمات صح,مستشفي رائعه خدمات صح,pos,service-,1,Positive-Feedback
هل تلبرنامج يتنفذ ضمن مصر للتامين,هل تلبرنامج يتنفذ ضمن مصر للتامين,obj,insurance-place-,1,Mixed-Inquiries
اللهم اشفى مرضانا ومرضى المسلمين وبفضلك ورحمتك الواسعه ارفع عنا هذا الوباء,اللهم اشفي مرضانا ومرضي المسلمين وبفضلك ورحمتك الواسعه ارفع عنا هذا الوباء,obj,,0,General Conversation
ممكن اعرف اسعار الدكاترة الباطنة والقلب والعظام,ممكن اعرف اسعار الدكاترة الباطنة والقلب والعظام,obj,price-,1,Price-Inquiry
فى تحليل كورونا عندكم,في تحليل كورونا عندكم,obj,Medical_consult-insurance-,1,Mixed-Inquiries
بكام بقي,بكام بقي,obj,price-,1,Price-Inquiry
ارجومعرفة سعر الزياره المنزليه للطوارء,ارجومعرفة سعر الزياره المنزليه للطوارء,obj,price-,1,Price-Inquiry
"ربنا يوفقكم
أسعار الدكتور الباطن
زياره منزليه",ربنا يوفقكم اسعار الدكتور الباطن زياره منزليه,obj,price-,1,Price-Inquiry
الكشف بكام والمواعيد,الكشف بكام والمواعيد,obj,price-,1,Price-Inquiry
ربنا يشفى مرضانا ومرضى الأمة العربية والإسلامية اجمعين وجزاكم الله خيرا,ربنا يشفي مرضانا ومرضي الامة العربية والاسلامية اجمعين وجزاكم الله خيرا,obj,,0,General Conversation
بارك الله فيكم وجزاكم الله كل خير انشاء الله انتم ملآك الرحمه,بارك الله فيكم وجزاكم الله كل خير انشاء الله انتم ملاك الرحمه,pos,,0,Positive-Feedback
اللهم صلي علي سيدنا محمد وعلى آله وأصحابه أجمعين,اللهم صلي علي سيدنا محمد وعلي اله واصحابه اجمعين,obj,,0,General Conversation
جزاهم الله كل خير,جزاهم الله كل خير,pos,,0,Positive-Feedback
ربنا يسلم,ربنا يسلم,obj,,0,General Conversation
كام تكلفة الكشف علي الاطفال ارجو الاسعار,كام تكلفة الكشف علي الاطفال ارجو الاسعار,obj,price-,1,Price-Inquiry
ربنايشفي,ربنايشفي,obj,,0,General Conversation
ممكن اعرف اسعارالعظام,ممكن اعرف اسعارالعظام,obj,,1,General-Inquiry
كام اسعارها,كام اسعارها,obj,price-,1,Price-Inquiry
لو سمحتم هو ممكن حد يجي يدي حقنه في البيت مضاد حيوي ويعمل لها اختبار,لو سمحتم هو ممكن حد يجي يدي حقنه في البيت مضاد حيوي ويعمل لها اختبار,obj,Medical_consult-,1,Medical-Consultation
بكام الزيارة المنزليةللسكر,بكام الزيارة المنزليةللسكر,obj,price-,1,Price-Inquiry
في اسكندرية,في اسكندرية,obj,place-,1,Location-Inquiry
الهم اشفى كل مريض,الهم اشفي كل مريض,obj,,0,General Conversation
بكاااااااااااام في الساعه,بكام في الساعه,obj,price-datetime-,1,Mixed-Inquiries
بس بكام في الشهر ورعاية 24ساعة,بس بكام في الشهر ورعاية 24ساعة,obj,price-,1,Price-Inquiry
ربنا يشفي كل مريض يارب العالمين,ربنا يشفي كل مريض يا رب العالمين,obj,,0,General Conversation
مجهودات مشرفة بالتوفيق دائمآ,مجهودات مشرفة بالتوفيق دائما,pos,,0,Positive-Feedback
فى اشعة منزلية pdf,في اشعة منزلية pdf,obj,,0,General Conversation
السلام عليكم ورحمة الله  كشفت على ضهرى واخذت علاج وبعد اسبوع راحة رجعت الشغل رجع نفس الم وكام مرة ارجع من الشغل وتعبان اخر سلسة ضهرى,السلام عليكم ورحمة الله كشفت علي ضهري واخذت علاج وبعد اسبوع راحة رجعت الشغل رجع نفس الم وكام مرة ارجع من الشغل وتعبان اخر سلسة ضهري,obj,Medical_consult-price-datetime-Booking-,1,Mixed-Inquiries
بكام الجلسه وبتعد قد ايه,بكام الجلسه وبتعد قد ايه,obj,price-,1,Price-Inquiry
من فضلك السعر كام في عياده سموحه بالاسكندريه ,من فضلك السعر كام في عياده سموحه بالاسكندريه,obj,price-place-,1,Mixed-Inquiries
بكام الجلسه وسنه 15 سنه,بكام الجلسه وسنه 15 سنه,obj,price-,1,Price-Inquiry
سعر الجلسة كام في فرع اسكندرية,سعر الجلسة كام في فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
يعنى تحت الابط بيحتاج كم جلسة ,يعني تحت الابط بيحتاج كم جلسة,obj,Medical_consult-price-,1,Mixed-Inquiries
تنفع للوجه,تنفع للوجه,obj,,0,General Conversation
انا بنتي ١٤ سنه ايديها بتعرق جامد جدا في الشتاء والصيف ممكن اعرف التكاليف حتبقي كام في فرع اسكندريه,انا بنتي ١٤ سنه ايديها بتعرق جامد جدا في الشتاء والصيف ممكن اعرف التكاليف حتبقي كام في فرع اسكندريه,obj,Medical_consult-price-place-,1,Mixed-Inquiries
بكام الجلسة و فترتها اد ايه ف إسكندرية,بكام الجلسة و فترتها اد ايه ف اسكندرية,obj,price-place-,1,Mixed-Inquiries
سعر الجلسة كام فرع اسكندرية ,سعر الجلسة كام فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
"منور يا دكتورنا الغالي واخو الغالي 
",منور يا دكتورنا الغالي واخو الغالي,pos,,0,Positive-Feedback
بالتوفيق,بالتوفيق,pos,,0,Positive-Feedback
بالتوفيق وربنا يوفقك تكون سبب في شفاء مرضانا بعد الله عز وجل,بالتوفيق وربنا يوفقك تكون سبب في شفاء مرضانا بعد الله عز وجل,pos,Medical_consult-,1,Positive-Feedback
بالتوفيق يا دكتور يا رب,بالتوفيق يا دكتور يا رب,pos,,0,Positive-Feedback
"بالتوفيق يادكتور هيثم 
ودايما في نجاح وتميز ",بالتوفيق يا دكتور يثم ودايما في نجاح وتميز,pos,,0,Positive-Feedback
دايما موفق يا رب,دايما موفق يا رب,pos,,0,Positive-Feedback
بالتوفيق دائما ي دكتور,بالتوفيق دائما ي دكتور,pos,,0,Positive-Feedback
"بالتوفيق يادكتور
من نجاح لنجاح ان شاءالله",بالتوفيق يا دكتور من نجاح لنجاح ان شاء الله,pos,,0,Positive-Feedback
بالتوفيق يادكتور هيثم يامشرفنا فى كل مكان,بالتوفيق يا دكتور يثم يا مشرفنا في كل مكان,obj,place-,1,Location-Inquiry
بالتوفيق يادكتور هيثم ,بالتوفيق يا دكتور يثم,pos,,0,Positive-Feedback
ربنا يزيدك علم ونور وايمان يادكتور,ربنا يزيدك علم ونور وايمان يا دكتور,pos,,1,Positive-Feedback
بالتوفيق ان شاء الله ,بالتوفيق ان شاء الله,pos,,0,Positive-Feedback
بالتوفيق دايما ي دكتور هيثم ,بالتوفيق دايما ي دكتور يثم,pos,,0,Positive-Feedback
بالتوفيق ان شاء الله ,بالتوفيق ان شاء الله,pos,,0,Positive-Feedback
"بالتوفيق ان شاء الله 
ومن نجاح لنجاح يارب ",بالتوفيق ان شاء الله ومن نجاح لنجاح يا رب,pos,,0,Positive-Feedback
بالتوفيق يا دكتور هيثم,بالتوفيق يا دكتور يثم,pos,,0,Positive-Feedback
بالتوفيق يادكتور هيثم,بالتوفيق يا دكتور يثم,pos,,0,Positive-Feedback
للاطفال ولا الكبار,للاطفال ولا الكبار,obj,,0,General Conversation
بالتوفيق باذن الله يا دكتور هيثم,بالتوفيق باذن الله يا دكتور يثم,pos,,0,Positive-Feedback
عايزه احجز,عايزه احجز,obj,datetime-Booking-,1,Mixed-Inquiries
حبيبي العزيز الغالي الف تريليون مبروك بالتوفيق يا دكتره ربنا معاك اسمك يكفي يشرف اي مكان  خلق وادب واحترام ووقار  وتواضع وعلم ربنا معاك ويحفظك بحفظه,حبيبي العزيز الغالي الف تريليون مبروك بالتوفيق يا دكتره ربنا معاك اسمك يكفي يشرف اي مكان خلق وادب واحترام وقار وتواضع وعلم ربنا معاك ويحفظك بحفظه,pos,place-,1,Positive-Feedback
بالتوفيق يا دكتور هيثم ,بالتوفيق يا دكتور يثم,pos,,0,Positive-Feedback
بالتوفيق يا دكتور هيثم ومن نجاح لنجاح ,بالتوفيق يا دكتور يثم ومن نجاح لنجاح,pos,,0,Positive-Feedback
بالتوفيق باذن الله يا دكتور هيثم,بالتوفيق باذن الله يا دكتور يثم,pos,,0,Positive-Feedback
ان شاء الله بالتوفيق والنجاح الدائم ابنى الحبيب والغالى استاذ دكتور هيثم رمضان استشارى القلب والأوعية الدموية والقسطرة وزميل معهد القلب القومى وإن شاء الله دائما من نجاح إلى نجاح تحياتى لشخصكم الكريم,ان شاء الله بالتوفيق والنجاح الدائم ابني الحبيب والغالي استاذ دكتور يثم رمضان استشاري القلب والاوعية الدموية والقسطرة وزميل معهد القلب القومي وان شاء الله دائما من نجاح الي نجاح تحياتي لشخصكم الكريم,pos,Medical_consult-,1,Positive-Feedback
"السلام عليكم
من فضلك يا دكتور أنا عملت اسطره من3سنوات توسيع شريان التاجى وماخد اتوريزا واسبرين وبلفكس وكل ماعمل تحليل الدم للتأكد من فيروس كورونا يظهر العلاج في التحليل وأنا لايوجد عندى أى أعراض  ياريت الافاده وشكرا",السلام عليكم من فضلك يا دكتور انا عملت اسطره من3سنوات توسيع شريان التاجي وماخد اتوريزا واسبرين وبلفكس وكل ماعمل تحليل الدم للتاكد من فيروس كورونا يظهر العلاج في التحليل وانا لايوجد عندي اي اعراض يا ريت الافاده وشكرا,obj,Medical_consult-place-,1,Mixed-Inquiries
بالتوفيق يا دكتور هيثم ومن نجاح لنجاح ان شاء الله ,بالتوفيق يا دكتور يثم ومن نجاح لنجاح ان شاء الله,pos,,0,Positive-Feedback
بالتوفيق يا دكتور احمد ربنا يكرمك و يزيدك علم,بالتوفيق يا دكتور احمد ربنا يكرمك و يزيدك علم,pos,,1,Positive-Feedback
مشا الله تبارك الله,م شاء الله تبارك الله,pos,,0,Positive-Feedback
ممكن اعرف دكتور المسالك يوم الأربعاء ميعاده الساعة كام,ممكن اعرف دكتور المسالك يوم الاربعاء ميعاده الساعة كام,obj,Medical_consult-price-datetime-,1,Mixed-Inquiries
بالتوفيق دائما يادكتور,بالتوفيق دائما يا دكتور,pos,,0,Positive-Feedback
البوسير والشرخ,البوسير والشرخ,obj,,0,General Conversation
يا دى النور يا حج احمد,يا دي النور يا حج احمد,obj,,0,General Conversation
محتاجه لينك حجز الرقم ضرورى,محتاجه لينك حجز الرقم ضروري,obj,datetime-Booking-,1,Mixed-Inquiries
سعر الجلسه,سعر الجلسه,obj,price-,1,Price-Inquiry
سعر الجلسه للوجهه,سعر الجلسه للوجهه,obj,price-,1,Price-Inquiry
البلص بكام,البلص بكام,obj,price-,1,Price-Inquiry
ربنا يوفقك يا دكتورة رشا دائما فى تألق ومن نجاح لنجاح ,ربنا يوفقك يا دكتورة رشا دائما في تالق ومن نجاح لنجاح,pos,,0,Positive-Feedback
ممكن العنوان والموعيد,ممكن العنوان والموعيد,obj,place-,1,Location-Inquiry
أسعار الجلسات لو سمحت,اسعار الجلسات لو سمحت,obj,Medical_consult-price-,1,Mixed-Inquiries
النبضه بكام,النبضه بكام,obj,price-,1,Price-Inquiry
منوره يا دكتوره رشا,منوره يا دكتوره رشا,obj,,0,General Conversation
بكام البلص وهل فيه اطباء رجال لا لاء,بكام البلص وهل فيه اطباء رجال لا لاء,obj,Medical_consult-price-,1,Mixed-Inquiries
منوره يا دكتوره,منوره يا دكتوره,obj,,0,General Conversation
كم سعر الجلسة,كم سعر الجلسة,obj,price-,1,Price-Inquiry
Omnia Mohamed تفتكرى ان اشوف الفيديو دا قدامى رساااله لينا,omnia mohamed تفتكري ان اشوف الفيديو دا قدامي رساله لينا,obj,,0,General Conversation
بكام السعر للنبضه,بكام السعر للنبضه,obj,price-,1,Price-Inquiry
عايزة اعرف مواعيد كشف الجلدية مع دكتورة رشا شهاوى,عايزة اعرف مواعيد كشف الجلدية مع دكتورة رشا شهاوي,obj,Medical_consult-datetime-,1,Mixed-Inquiries
سعر الجلسة للوجه,سعر الجلسة للوجه,obj,price-,1,Price-Inquiry
Ränîä Gämăl,ränîä gämăl,obj,,0,General Conversation
سعر الكشف المنزلي كام لو سمحت,سعر الكشف المنزلي كام لو سمحت,obj,price-,1,Price-Inquiry
ممكن سعر الكشف المنزلي,ممكن سعر الكشف المنزلي,obj,price-,1,Price-Inquiry
يعنى من الممكن اطلب دكتور ويحضر للمنزل,يعني من الممكن اطلب دكتور ويحضر للمنزل,obj,,0,General Conversation
لو حاله محتاجه تنفس صناعى متوفر حد يحضر للمنزل,لو حاله محتاجه تنفس صناعي متوفر حد يحضر للمنزل,obj,Medical_consult-insurance-,1,Mixed-Inquiries
هل متوفر اشعة على الصدر مع زيارة منزلية من طبيب باطنى فى الاسكندرية لوران جزيل الشكر,هل متوفر اشعة علي الصدر مع زيارة منزلية من طبيب باطني في الاسكندرية لوران جزيل الشكر,obj,Medical_consult-insurance-place-,1,Mixed-Inquiries
الكشف المنزلي بكام لو سمحت,الكشف المنزلي بكام لو سمحت,obj,price-,1,Price-Inquiry
ارجو معرفه السعر ولو فى جهاز رسم قلب بالمنزل,ارجو معرفه السعر ولو في جهاز رسم قلب بالمنزل,obj,Medical_consult-price-insurance-,1,Mixed-Inquiries
من فضلكم ينفع زيارة منزلية للدكتور احمد فؤاد ابوطالب عظام وعمل اشعة رنين مغناطيسى فى البيت ارجو الرد ضرورى فى فرع الإسكندرية,من فضلكم ينفع زيارة منزلية للدكتور احمد فؤاد ابوطالب عظام وعمل اشعة رنين مغناطيسي في البيت ارجو الرد ضروري في فرع الاسكندرية,obj,Medical_consult-place-,1,Mixed-Inquiries
دكتور محترم  بالتوفيق ,دكتور محترم بالتوفيق,pos,,0,Positive-Feedback
بالتوفيق ,بالتوفيق,pos,,0,Positive-Feedback
بالتوفيق يا شربيني,بالتوفيق يا شربيني,pos,,0,Positive-Feedback
هايلة يا هبة ربى يوفقك  عملتى لى رسم قلب بالمجهود واتشرفت بمعرفتك الجميلة,ايلة يا هبة ربي يوفقك عملتي لي رسم قلب بالمجهود واتشرفت بمعرفتك الجميلة,pos,Medical_consult-,1,Positive-Feedback
مواعيدها اي,مواعيدها اي,obj,,0,General Conversation
"احسن دكتوره عرفتها في حياتي والله 
ربنا يوفقك يارب",احسن دكتوره عرفتها في حياتي والله ربنا يوفقك يا رب,pos,,0,Positive-Feedback
مبروك يا هبة  من نجاح لنجاح دايما,مبروك يا هبة من نجاح لنجاح دايما,pos,,0,Positive-Feedback
بالتوفيق الدائم  والعلم النافع للمرضي,بالتوفيق الدائم والعلم النافع للمرضي,pos,,0,Positive-Feedback
بالتوفيق دايما,بالتوفيق دايما,pos,,0,Positive-Feedback
دكتورة شاطرة ومحترمة جدا ,دكتورة شاطرة ومحترمة جدا,pos,,0,Positive-Feedback
مشاء اللة ,مشاء اللة,obj,,0,General Conversation
اشطر دكتوره ,اشطر دكتوره,pos,,0,Positive-Feedback
الله يبارك فيكي يارب دكتوره ممتازه جداا,الله يبارك فيكي يا رب دكتوره ممتازه جدا,pos,,0,Positive-Feedback
سعر الكشف,سعر الكشف,obj,price-,1,Price-Inquiry
بالتوفيق يا أفندم,بالتوفيق يا افندم,pos,,0,Positive-Feedback
مستشفى محترمه حقيقى ودكاترة ممتازين,مستشفي محترمه حقيقي ودكاترة ممتازين,pos,,0,Positive-Feedback
هو التطعيم ممكن لحد سن كام,هو التطعيم ممكن لحد سن كام,obj,Medical_consult-price-,1,Mixed-Inquiries
هو اعراضه ايه,هو اعراضه ايه,obj,,1,General-Inquiry
التطعيم ممكن لسن 48,التطعيم ممكن لسن 48,obj,,1,General-Inquiry
انا عندي ٢٨ سنه ينفع اخد التطعيم ,انا عندي ٢٨ سنه ينفع اخد التطعيم,obj,Medical_consult-,1,Medical-Consultation
اعراضه وعبارة عن إيه ارجو الرد,اعراضه وعبارة عن ايه ارجو الرد,obj,,1,General-Inquiry
يوجد دكاتره سيدات,يوجد دكاتره سيدات,obj,,0,General Conversation
يكام تطعيم ال٣ جرعات,يكام تطعيم ال٣ جرعات,obj,,0,General Conversation
اسكندريه,اسكندريه,obj,place-,1,Location-Inquiry
ممكن اعرف الموعد الدكتوره اماني ضروري,ممكن اعرف الموعد الدكتوره اماني ضروري,obj,datetime-,1,Appointments-Inquiry
ممكن لو سمحت اعرف مواعيد حضرتك ,ممكن لو سمحت اعرف مواعيد حضرتك,obj,datetime-,1,Appointments-Inquiry
فرع الاسكندرية مواعيده ايه والكشف كام,فرع الاسكندرية مواعيده ايه والكشف كام,obj,price-place-,1,Mixed-Inquiries
دكتوره فوق الممتازه بصراحه ربنا يباركلها,دكتوره فوق الممتازه بصراحه ربنا يباركلها,pos,Medical_consult-,1,Positive-Feedback
العنوان ايه,العنوان ايه,obj,place-,1,Location-Inquiry
دى الدكتورة اللى كنت عندها النهاردة اللى حكتلك عنها Habiba Elsharbatly,دي الدكتورة اللي كنت عندها النهاردة اللي حكتلك عنها habiba elsharbatly,obj,Medical_consult-,1,Medical-Consultation
ممكن اعرف مواعيد حضرتك,ممكن اعرف مواعيد حضرتك,obj,datetime-,1,Appointments-Inquiry
لو سمحت عايزة أحجز مع دكتورة أماني يحيى,لو سمحت عايزة احجز مع دكتورة اماني يحيي,obj,datetime-,1,Appointments-Inquiry
محتاج اعرف تكلفة  عملية دوالى من درجة 4,محتاج اعرف تكلفة عملية دوالي من درجة 4,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام الكشف فى عيادة العلاج الطبيعى وكام سعر الجلسة,بكام الكشف في عيادة العلاج الطبيعي وكام سعر الجلسة,obj,Medical_consult-price-place-,1,Mixed-Inquiries
ارجو الاستفسار هل يوجد ماسحه كورونا,ارجو الاستفسار هل يوجد ماسحه كورونا,obj,Medical_consult-,1,Medical-Consultation
لو سمحت عايزه احجز كشف غددومش موجود بقائمه الحجز التخصص,لو سمحت عايزه احجز كشف غددو ما موجود بقائمه الحجز التخصص,obj,Medical_consult-datetime-Booking-place-,1,Mixed-Inquiries
"من فضلك عايزة اعرف سعر جلسة البلازما للشعر 
و ممكن الشعر يحتاج كام جلسة اذا كان حالته تعبانه جدا جدا و شبه فاضى من الامام 
موجودة بالقاهرة",من فضلك عايزة اعرف سعر جلسة البلازما للشعر و ممكن الشعر يحتاج كام جلسة اذا كان حالته تعبانه جدا و شبه فاضي من الامام موجودة بالقاهرة,obj,Medical_consult-price-place-,1,Mixed-Inquiries
ممكن اعرف بكام البلص وعروض البكدجات,ممكن اعرف بكام البلص وعروض البكدجات,obj,price-,1,Price-Inquiry
لو سمحتي كنت عايزة اعرف سعر الجلسة كام ولو في عروض,لو سمحتي كنت عايزة اعرف سعر الجلسة كام ولو في عروض,obj,price-,1,Price-Inquiry
بكام البلص ولو فى عروض,بكام البلص ولو في عروض,obj,price-,1,Price-Inquiry
جميل جدا بس مصاريف قد ايه لحشو الضرس مثلا,جميل جدا بس مصاريف قد ايه لحشو الضرس مثلا,obj,Medical_consult-,1,Medical-Consultation
بكام زراعه الضرس وعمل كوبرى بتلاثه طربوش,بكام زراعه الضرس وعمل كوبري بتلاثه طربوش,obj,Medical_consult-price-,1,Mixed-Inquiries
وممكن يتعمل حشو فالبيت,وممكن يتعمل حشو فالبيت,obj,Medical_consult-,1,Medical-Consultation
تركيب الضرس كام,تركيب الضرس كام,obj,Medical_consult-price-,1,Mixed-Inquiries
لما يكون في فراغات في الضروس,لما يكون في فراغات في الضروس,obj,,0,General Conversation
ممكن خلع الضرس فى البيت  وكام التكلفه ,ممكن خلع الضرس في البيت وكام التكلفه,obj,Medical_consult-price-,1,Mixed-Inquiries
خلع الضرس كام المصاريف,خلع الضرس كام المصاريف,obj,Medical_consult-price-,1,Mixed-Inquiries
الكشف بكام  حشو الضرس  بكام,الكشف بكام حشو الضرس بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
عمل تركيبة ل ٤ ضروس  زركنيوم كام والوقت اد ايه,عمل تركيبة ل ٤ ضروس زركنيوم كام والوقت اد ايه,obj,Medical_consult-price-,1,Mixed-Inquiries
ممكن رقم تليفون للتواصل علي التفاصيل,ممكن رقم تليفون للتواصل علي التفاصيل,obj,Booking-,1,Booking-Inquiry
العنوان فين هل لكم فرع في اسكندريه الهاتوفيل  تحديدا,العنوان فين هل لكم فرع في اسكندريه الهاتوفيل تحديدا,obj,place-,1,Location-Inquiry
والله الجير بكام,والله الجير بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
علاج عصب بكام,علاج عصب بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
خلع الصرس بكام,خلع الصرس بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام حشو الضرس فى البيت,بكام حشو الضرس في البيت,obj,Medical_consult-price-,1,Mixed-Inquiries
حشو اضرس  وحشو العصب,حشو اضرس وحشو العصب,obj,Medical_consult-,1,Medical-Consultation
كويس قوى طب لو تنضيف الاسنان كام السعر,كويس قوي طب لو تنضيف الاسنان كام السعر,obj,Medical_consult-price-,1,Mixed-Inquiries
تنظيف الأسنان كام,تنظيف الاسنان كام,obj,Medical_consult-price-,1,Mixed-Inquiries
ازاله الجير,ازاله الجير,obj,Medical_consult-,1,Medical-Consultation
فى حشو او خلع بنج كلى,في حشو او خلع بنج كلي,obj,Medical_consult-,1,Medical-Consultation
التقويم بكام,التقويم بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
حشو ضرس لطفل عنده 6 سنين يتكلف كام,حشو ضرس لطفل عنده 6 سنين يتكلف كام,obj,Medical_consult-price-,1,Mixed-Inquiries
الخلع كم لو سمحتم واهه هى الاجراءات,الخلع كم لو سمحتم واهه هي الاجراءات,obj,Medical_consult-price-,1,Mixed-Inquiries
ازالة الجير والحشو كام,ازالة الجير والحشو كام,obj,Medical_consult-price-,1,Mixed-Inquiries
تنظيف الاسنان بكام,تنظيف الاسنان بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
مكان العيادات لو سمحت,مكان العيادات لو سمحت,obj,place-,1,Location-Inquiry
