message,predicted,tags,inquiry,ALL_Categories,cleaned
مواعيد العيادة وسعر الكشف,obj,price-datetime-,1,Mixed-Inquiries,مواعيد العيادة وسعر الكشف
دكتور في منتهي الشطارة والذوق والأخلاق مشفتش كده في مصر قبل كده  ربنا يبارك لك يا دكتور ويجعله في ميزان حسناتك  ,pos,place-,1,Positive-Feedback,دكتور في منتهي الشطارة والذوق والاخلاق مشفتش كده في مصر قبل كده ربنا يبارك لك يا دكتور ويجعله في ميزان حسناتك
لوسمحت الخبير الاجنبى فى المخ والأعصاب والنخاع الشوكى هييجى امتى,obj,datetime-,1,Appointments-Inquiry,لوسمحت الخبير الاجنبي في المخ والاعصاب والنخاع الشوكي يجي امتي
ممكن مواعيد الدكتور في اندلسيه الشلالات,obj,datetime-PriceBooking-place-,1,Mixed-Inquiries,ممكن مواعيد الدكتور في اندلسيه الشلالات
دكتور بجاد جراح رائع وانسان اروع,pos,,0,Positive-Feedback,دكتور بجاد جراح رائع وانسان اروع
دكتور شاطر جدا وبنى ادم قمة فى الذوق والاخلاق ,pos,,0,Positive-Feedback,دكتور شاطر جدا وبني ادم قمة في الذوق والاخلاق
زوجتي تم تشخيص الحاله تمزق جزئي ممكن العلاج ولا الافضل جراحه منظار,obj,service-Medical_consult-,1,Mixed-Inquiries,زوجتي تم تشخيص الحاله تمزق جزئي ممكن العلاج ولا الافضل جراحه منظار
لو سمحت مواعيد دكتور بجاد امتى ,obj,datetime-PriceBooking-,1,Mixed-Inquiries,لو سمحت مواعيد دكتور بجاد امتي
بالتوفيق يا دكتور مدحت  نفع الله بك وبعلمك,pos,,1,Positive-Feedback,بالتوفيق يا دكتور مدحت نفع الله بك وبعلمك
محتاج دكتور اوعيه دموية فى سموحه,obj,place-,1,Place-Inquiry,محتاج دكتور اوعيه دموية في سموحه
ممكن اعرف الزراعة للجزء الأمامي من الراس كام السعر وهل الشعر المزروع مدته قد ايه ويقع ولا دائم برجاء التوضيح,obj,price-Medical_consult-,1,Mixed-Inquiries,ممكن اعرف الزراعة للجزء الامامي من الراس كام السعر وهل الشعر المزروع مدته قد ايه ويقع ولا دائم برجاء التوضيح
زراعة الجزء الامامي ممكن اعرف السعر ضروري,obj,price-,1,Price-Inquiry,زراعة الجزء الامامي ممكن اعرف السعر ضروري
زراعة الجزء كلى بكام,obj,price-Medical_consult-,1,Mixed-Inquiries,زراعة الجزء كلي بكام
ز  راعه الجزء الامامي,obj,,0,General Conversation,ز راعه الجزء الامامي
بكام ارجوكم نفسي اعمل شعري,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام ارجوكم نفسي اعمل شعري
تكليفه كام الو سمحت الصلع الوريثي,obj,price-,1,Price-Inquiry,تكليفه كام الو سمحت الصلع الوريثي
تفاصيل التكلفه,obj,price-,1,Price-Inquiry,تفاصيل التكلفه
ما التكلفة والتفاصيل لو ممكن,obj,price-,1,Price-Inquiry,ما التكلفة والتفاصيل لو ممكن
حوريه الجنه,obj,,0,General Conversation,حوريه الجنه
تفاصيل فرع اسكندريه,obj,place-PriceBooking-place-,1,Mixed-Inquiries,تفاصيل فرع اسكندريه
كنت عايز اعرف التكاليف كم في المنطقه الاماميه,obj,price-,1,Price-Inquiry,كنت عايز اعرف التكاليف كم في المنطقه الاماميه
ممكن اعرف الجزء الأمامي من الشعر كام الزراع,obj,price-,1,Price-Inquiry,ممكن اعرف الجزء الامامي من الشعر كام الزراع
التكلفة لو سمحت فى تقسيط وبكام,obj,price-,1,Price-Inquiry,التكلفة لو سمحت في تقسيط وبكام
تفاصيل  اسكندرية,obj,PriceBooking-place-,1,Mixed-Inquiries,تفاصيل اسكندرية
زراعه الشعر في النصف الامامي للسيدات بكام,obj,price-Medical_consult-,1,Mixed-Inquiries,زراعه الشعر في النصف الامامي للسيدات بكام
زراعه النصف الامامي من الرأس للسيدات بكام في سموحه,obj,price-Medical_consult-place-,1,Mixed-Inquiries,زراعه النصف الامامي من الراس للسيدات بكام في سموحه
ممتاااز بارك الله فيكم,pos,,0,Positive-Feedback,ممتاز بارك الله فيكم
الى مندوب المستشفى عمرو الجوهرى انت دخلت على الاشعات عرفنا بكام وربنا يكفينا شرها,obj,price-,1,Price-Inquiry,الي مندوب المستشفي عمرو الجوهري انت دخلت علي الاشعات عرفنا بكام وربنا يكفينا شرها
يأتري الاسعار كام,obj,price-,1,Price-Inquiry,يا تري الاسعار كام
كنت عايزة اجى المستشفى اعمل ايكو ومش عارفه المواعيد والاسعار ايه حد ممكن يفيدنى,obj,price-datetime-,1,Mixed-Inquiries,كنت عايزة اجي المستشفي اعمل ايكو و ما عارفه المواعيد والاسعار ايه حد ممكن يفيدني
هل لديكم جهاز آشعة مقطعية لوزن 140 ك,obj,support-,1,Insurance-Inquiry,هل لديكم جهاز اشعة مقطعية لوزن 140 ك
مواعيده امته,obj,datetime-,1,Appointments-Inquiry,مواعيده امته
جزاكم الله خيرا واشفى كل مريض يارب,obj,,0,General Conversation,جزاكم الله خيرا واشفي كل مريض يا رب
جزاكم الله خيرا وحفظكم بحفظه ورعايته يارب ياكريم,pos,,0,Positive-Feedback,جزاكم الله خيرا وحفظكم بحفظه ورعايته يا رب يا كريم
الله يشفيه كل مريض يارب العلمين ,obj,,1,General-Inquiry,الله يشفيه كل مريض يا رب العلمين
لكم جزيل الشكر,pos,,0,Positive-Feedback,لكم جزيل الشكر
مساءالخيرلوسمحتوافى اشعه مقطعيه على الرئتين,obj,,0,General Conversation,مساءالخيرلوسمحتوافي اشعه مقطعيه علي الرئتين
ممكن رقم المركز,obj,PriceBooking-place-,1,Mixed-Inquiries,ممكن رقم المركز
قطع في الغضروف الهلالي للركبه اليمني وتقوس في الساق,obj,Medical_consult-,1,Medical-Consultation,قطع في الغضروف الهلالي للركبه اليمني وتقوس في الساق
هي في اسكندريه,obj,place-,1,Place-Inquiry,هي في اسكندريه
"حضرتك يادكتور انا تعبانه    وبي جيني  هوي
بوت و
ضاخ عند 
دوللي   وعملت اشعه طلعت عندي  عضلت  ٦٨ و عل طول  بنهج من  ال مجهود ",obj,Medical_consult-,1,Medical-Consultation,حضرتك يا دكتور انا تعبانه وبي جيني هوي بوت و ضاخ عند دوللي وعملت اشعه طلعت عندي عضلت ٦٨ و عل طول بنهج من ال مجهود
للعنوان,obj,place-,1,Place-Inquiry,للعنوان
عندطفل شهرين عنده اسهال مستمر من يوم الولدة اكثر من ست مرات فى اليوم ولونة اخضر وبيسرخ سراخ جامد جدا,obj,Medical_consult-,1,Medical-Consultation,عندطفل شهرين عنده اسهال مستمر من يوم الولدة اكثر من ست مرات في اليوم ولونة اخضر وبيسرخ سراخ جامد جدا
لوسمحتي بنتي بدأت فالشهر الرابع وبتعمل الحمام مشي كل يومين او تلاته هل دى طبيعة وتام طول النهار وتصحى الليل,obj,Medical_consult-support-,1,Mixed-Inquiries,لوسمحتي بنتي بدات فالشهر الرابع وبتعمل الحمام مشي كل يومين او تلاته هل دي طبيعة وتام طول النهار وتصحي الليل
لو سمحت بنتى عندها شهر وعندها امساك تحزق ووشها يزرق وترضع ترجع حتى لو اتكرعت,obj,Medical_consult-,1,Medical-Consultation,لو سمحت بنتي عندها شهر وعندها امساك تحزق وشها يزرق وترضع ترجع حتي لو اتكرعت
لو سمحت انا بنتي بترضع وتفضل تصرخ يبقي اللبن قليل,obj,,1,General-Inquiry,لو سمحت انا بنتي بترضع وتفضل تصرخ يبقي اللبن قليل
"السلام عليكم 
في شركه تامين اسمها جراند ايجيبت بتقول انها بتعامل معاكم وان نسبه التغطيه 100   علي الكشف والفحصوات هل هذا الكلام صحيح ارجو الرد سريعا",obj,insurance-support-,1,Mixed-Inquiries,السلام عليكم في شركه تامين اسمها جراند ايجيبت بتقول انها بتعامل معاكم وان نسبه التغطيه 100 علي الكشف والفحصوات هل هذا الكلام صحيح ارجو الرد سريعا
الحمد لله الحمد لله الحمد لله على نعمة الحمدلله على كل شيء  قدير اللهم امين يارب ,pos,,0,Positive-Feedback,الحمد لله علي نعمة الحمدلله علي كل شيء قدير اللهم امين يا رب
فين دى,obj,place-place-,1,Mixed-Inquiries,فين دي
انا حامل في تؤام وعندي تكيسات علي الكليتين الحمل هياثر عليا,obj,Medical_consult-,1,Medical-Consultation,انا حامل في تؤام وعندي تكيسات علي الكليتين الحمل ياثر عليا
هل تكيسات الكلي الوراثية من الانواع المطمئنة ,obj,support-,1,Insurance-Inquiry,هل تكيسات الكلي الوراثية من الانواع المطمئنة
دكتور لو سمحتى أنا عندى كيس داخل الكلى حجمه22x34 m clear  content أنا بأعمل متابعة كل ٦ شهور بس أعمل ايه هل فى احتمال أشيله بمنظار و لا لأ لأن عندى تضارب لعدد من أساتذة الكلى,obj,Medical_consult-,1,Medical-Consultation,دكتور لو سمحتي انا عندي كيس داخل الكلي حجمه22x34 m clear content انا باعمل متابعة كل ٦ شهور بس اعمل ايه هل في احتمال اشيله بمنظار و لا لان عندي تضارب لعدد من اساتذة الكلي
لو سمحتي عايزة احجز كشف,obj,PriceBooking-,1,Booking-Inquiry,لو سمحتي عايزة احجز كشف
بجد احسن دكتور واحسن تعامل والله ربنا يجزيه خير يارب,pos,,0,Positive-Feedback,بجد احسن دكتور واحسن تعامل والله ربنا يجزيه خير يا رب
لو سمحت عاوز دكتور اوعيه دموية,obj,PriceBooking-,1,Booking-Inquiry,لو سمحت عاوز دكتور اوعيه دموية
اشطر دكتور           بالتوفيق حضرتك تستاهل كل خير   ,pos,,0,Positive-Feedback,اشطر دكتور بالتوفيق حضرتك تستاهل كل خير
الكشف بكام لو سمحت ,obj,price-,1,Price-Inquiry,الكشف بكام لو سمحت
اريد معرفة مواعيد دكتور محمود الفراش فى فرع سموحة أندلسية سموحة,obj,datetime-place-PriceBooking-place-,1,Mixed-Inquiries,اريد معرفة مواعيد دكتور محمود الفراش في فرع سموحة اندلسية سموحة
ممكن اعرف سعر الولاده القيصرية بكام,obj,price-,1,Price-Inquiry,ممكن اعرف سعر الولاده القيصرية بكام
عملت عملية الحصوه جراحية الكلي مركب دعامة بعد عملية الحصوه جراحية الكلي عايز اشيلها الدعامة,obj,Medical_consult-,1,Medical-Consultation,عملت عملية الحصوه جراحية الكلي مركب دعامة بعد عملية الحصوه جراحية الكلي عايز اشيلها الدعامة
بالتوفيق,pos,,0,Positive-Feedback,بالتوفيق
لو سمحتو ممكن اسم دكتور غدد اطفال وكم الكشف والمواعيد,obj,price-datetime-,1,Mixed-Inquiries,لو سمحتو ممكن اسم دكتور غدد اطفال وكم الكشف والمواعيد
يعني ايه الرفرفه الاذينييه,obj,,1,General-Inquiry,يعني ايه الرفرفه الاذينيه
كنت عايزة اعرف الموجات الصوتية عبر المرئ عبارة عن ايه بالظبط وانا باخد  سيلوكينزوك50مجم Eliquis5 mg,obj,Medical_consult-,1,Medical-Consultation,كنت عايزة اعرف الموجات الصوتية عبر المرئ عبارة عن ايه بالظبط وانا باخد سيلوكينزوك50مجم eliquis5 mg
أنا عندى رفرفه ومتابعه عند الدكتور بس عايزه اسالك سؤال ينفع وانا عندى ٥٩سنه اعمل صدمه كهربائيه,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,انا عندي رفرفه ومتابعه عند الدكتور بس عايزه اسالك سؤال ينفع وانا عندي ٥٩سنه اعمل صدمه كهربائيه
دكتوره ولدى عندة رفرفه فى القلب كفأة القلب ٦٠ ويوجد ورم فى القدمين,obj,Medical_consult-,1,Medical-Consultation,دكتوره ولدي عندة رفرفه في القلب كفاة القلب ٦٠ ويوجد ورم في القدمين
لو سمحتى يا دكتورة انا عندى باستمرار ضربات قلب سريعة جدا وكشف عند اتنين دكاترة قلب وعملت رسم قلب وطلع سليم والتحاليل كلها سليمة ومفيش دكتور عارف عندى اية وادونى برشام ينظم ضربات القلب ولاسف مش منتظم ودايما سريع وانا على طول نايمة مش قادرة اعمل اى حاجة خالص من التعب,obj,Medical_consult-,1,Medical-Consultation,لو سمحتي يا دكتورة انا عندي باستمرار ضربات قلب سريعة جدا وكشف عند اتنين دكاترة قلب وعملت رسم قلب وطلع سليم والتحاليل كلها سليمة ومفيش دكتور عارف عندي اية وادوني برشام ينظم ضربات القلب ولاسف ما منتظم ودايما سريع وانا علي طول نايمة ما قادرة اعمل اي حاجة خالص من التعب
يا فندم انا ضربات القلب سريعه جدا ودائما أعرق وهبوط ووصل ان دقات القلب فى بعض الأحيان وصلت 139 ولما اجى اعمل أشعة بالصيغة على القلب رفض الفنى لأن ضربات القلب سريعه وعملت أشعة بالمجهود وتلفزيونية وطلعت سليمه والقلب تمام يبقى ايه اللى انا فيه ده ارجوكى الافاده,obj,Medical_consult-,1,Medical-Consultation,يا فندم انا ضربات القلب سريعه جدا ودائما اعرق وهبوط وصل ان دقات القلب في بعض الاحيان وصلت 139 ولما اجي اعمل اشعة بالصيغة علي القلب رفض الفني لان ضربات القلب سريعه وعملت اشعة بالمجهود وتلفزيونية وطلعت سليمه والقلب تمام يبقي ايه اللي انا فيه ده ارجوكي الافاده
عمل أيكو على القلب بتتكلف كام,obj,price-,1,Price-Inquiry,عمل ايكو علي القلب بتتكلف كام
انا عاوزه اعرف مكان المستشفي عشان اجي اكشف مش عارفه,obj,place-place-,1,Mixed-Inquiries,انا عاوزه اعرف مكان المستشفي عشان اجي اكشف ما عارفه
يا دكتوره انا جوزي عندو نفس التعب وتعبت من كتر الكشف وكلو يقولي مفيش حاجه واديلو برشام تنظم ضربات القلب وانا محتاجه بجد النصيحه منك,obj,Medical_consult-,1,Medical-Consultation,يا دكتوره انا جوزي عندو نفس التعب وتعبت من كتر الكشف وكلو يقولي مفيش حاجه واديلو برشام تنظم ضربات القلب وانا محتاجه بجد النصيحه منك
اشكر ك افدتنى لانى اعانى من ضربات القلب السريعه وخصوصا لما اكون متضايقه,obj,Medical_consult-,1,Medical-Consultation,اشكر ك افدتني لاني اعاني من ضربات القلب السريعه وخصوصا لما اكون متضايقه
ياريت مساعده,obj,,0,General Conversation,يا ريت مساعده
والحل فيها ايه,obj,,1,General-Inquiry,والحل فيها ايه
السلام عليكم دكتوره انا بتزيد معايه دقات القلب جدا لدرجه انى بحس بضيق تنفس شديد والم شديد جدا فى القلب بيخلينى صعب احرك صدرى مع النتفس وباخد اقل نسبه من النفس لتجنب شده الالم وعملت اشعه اى كيو على القلب وده التقرير والدكتور كان كاتبلى اندرال ٤٠ لكن دكتور اخر وقفه وقالى انى مش محتاجه علاج وان الالم ده وهم مش اكتر ووقف العلاج لكن الالم مستمر ومن اقل مجهود فى بيبتى تتصارع دقات القلب وتتجدد الالام التى ذكرتها سابقا مع زياده فى تعرق الشديد,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,السلام عليكم دكتوره انا بتزيد معايه دقات القلب جدا لدرجه اني بحس بضيق تنفس شديد والم شديد جدا في القلب بيخليني صعب احرك صدري مع النتفس وباخد اقل نسبه من النفس لتجنب شده الالم وعملت اشعه اي كيو علي القلب وده التقرير والدكتور كان كاتبلي اندرال ٤٠ لكن دكتور اخر وقفه وقالي اني ما محتاجه علاج وان الالم ده وهم ما اكتر وقف العلاج لكن الالم مستمر ومن اقل مجهود في بيبتي تتصارع دقات القلب وتتجدد الالام التي ذكرتها سابقا مع زياده في تعرق الشديد
لوسمحت ممكن العنوان,obj,place-place-,1,Mixed-Inquiries,لوسمحت ممكن العنوان
فى زياره منزليه لو سمحت,obj,,1,General-Inquiry,في زياره منزليه لو سمحت
بسم الله ماشاء الله بالتوفيق يا دكتور احمد ,pos,,0,Positive-Feedback,بسم الله ماشاء الله بالتوفيق يا دكتور احمد
المواعيد والفرع,obj,datetime-place-,1,Mixed-Inquiries,المواعيد والفرع
دفعه الرجاله الله ينور يا صاحبي ماشاء الله ربنا يوفقك يارب,pos,price-,1,Positive-Feedback,دفعه الرجاله الله ينور يا صاحبي ماشاء الله ربنا يوفقك يا رب
بالتوفيق يا محلاوى ,pos,,0,Positive-Feedback,بالتوفيق يا محلاوي
لو سمحت يادكتور المواعيد ايه في اسكندريه,obj,datetime-place-,1,Mixed-Inquiries,لو سمحت يا دكتور المواعيد ايه في اسكندريه
استشاري واخصائي جراحه الاوعيه بالقاهره ومواعدهم والاسعار الكشف,obj,price-,1,Price-Inquiry,استشاري واخصائي جراحه الاوعيه بالقاهره ومواعدهم والاسعار الكشف
موفقين باذن الله تعالى وبركاته يرفع البلاء والوباء عن أمه محمد اللهم امين,obj,,0,General Conversation,موفقين باذن الله تعالي وبركاته يرفع البلاء والوباء عن امه محمد اللهم امين
كل التقدير والاحترام والتوفيق,pos,,0,Positive-Feedback,كل التقدير والاحترام والتوفيق
الله يحفظكم ويبارك فيكم ويحميكم يا رب,pos,,0,Positive-Feedback,الله يحفظكم ويبارك فيكم ويحميكم يا رب
دي حاجه عظيمه جدا بس الكاليف ايه,obj,,1,General-Inquiry,دي حاجه عظيمه جدا بس الكاليف ايه
ربنا ييسر لكم كل امرا عسير,obj,,0,General Conversation,ربنا يسر لكم كل امرا عسير
فين فى المعادى,obj,datetime-place-place-,1,Mixed-Inquiries,فين في المعادي
فين مكانها,obj,place-place-,1,Mixed-Inquiries,فين مكانها
الله يحفظكم ويبارك فيكم ويحميكم ربنا,pos,,0,Positive-Feedback,الله يحفظكم ويبارك فيكم ويحميكم ربنا
اللهم اشفي كل مريض,obj,,0,General Conversation,اللهم اشفي كل مريض
ربنا يكرمها دكتورة محترمة ,pos,,0,Positive-Feedback,ربنا يكرمها دكتورة محترمة
منوره ومعلومات قيمه يا أحلى وأجمل دكتوره Mahitab Nagah Mossallam ودايما متألقه وفي تقدم ان شاء الله,pos,,1,Positive-Feedback,منوره ومعلومات قيمه يا احلي واجمل دكتوره mahitab nagah mossallam ودايما متالقه وفي تقدم ان شاء الله
جنات ادم ,obj,,0,General Conversation,جنات ادم
احسن دكتور في الدنيا,pos,,0,Positive-Feedback,احسن دكتور في الدنيا
أستاذنا الدكتور المحترم,pos,,0,Positive-Feedback,استاذنا الدكتور المحترم
دكتور ممتاز ربنايبارك فيهعملت معاه عمليه ف رجلي وبدعيله من يومها,obj,Medical_consult-,1,Medical-Consultation,دكتور ممتاز ربنايبارك فيهعملت معاه عمليه ف رجلي وبدعيله من يومها
"اعظم طبيب عظام 
ربنا يحفظك ويوفقك حبببي الغالي 
",pos,price-Medical_consult-,1,Positive-Feedback,اعظم طبيب عظام ربنا يحفظك ويوفقك حببي الغالي
مواعيده ايه,obj,datetime-,1,Appointments-Inquiry,مواعيده ايه
من المستشفيات المحترمة,pos,,0,Positive-Feedback,من المستشفيات المحترمة
ممكن اعرف الدكتور بييجي أندلسية المعادي امتي ,obj,datetime-place-,1,Mixed-Inquiries,ممكن اعرف الدكتور بيجي اندلسية المعادي امتي
مستشفى محترمة والطوارىء ممتازين,pos,,0,Positive-Feedback,مستشفي محترمة والطواريء ممتازين
بكام نبضه,obj,price-,1,Price-Inquiry,بكام نبضه
بكام النبصه,obj,price-,1,Price-Inquiry,بكام النبصه
الأسعار ايه ,obj,price-,1,Price-Inquiry,الاسعار ايه
ممكن تفاصيل الاسعار وانواع الاجهزة,obj,price-,1,Price-Inquiry,ممكن تفاصيل الاسعار وانواع الاجهزة
سعر النبضه كام,obj,price-,1,Price-Inquiry,سعر النبضه كام
بكام كل الجسم,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام كل الجسم
كشف مجانى ولا خصم ياريت تحددو,obj,price-support-,1,Mixed-Inquiries,كشف مجاني ولا خصم يا ريت تحددو
سعر النبضة والمكان بالضبط,obj,price-place-place-,1,Mixed-Inquiries,سعر النبضة والمكان بالضبط
البلصه بكام,obj,price-,1,Price-Inquiry,البلصه بكام
عايزة تفاصيل,obj,PriceBooking-,1,Booking-Inquiry,عايزة تفاصيل
طيب ممكن اعرف بكام النبضه,obj,price-,1,Price-Inquiry,طيب ممكن اعرف بكام النبضه
لو سمحت مش محتاجين تمريض,obj,,1,General-Inquiry,لو سمحت ما محتاجين تمريض
سعر النبضة,obj,price-,1,Price-Inquiry,سعر النبضة
وبكام النبضه,obj,price-,1,Price-Inquiry,وبكام النبضه
بكام ونوع الجهاز ايه,obj,price-,1,Price-Inquiry,بكام ونوع الجهاز ايه
الاسعار ايه للشركات,obj,price-support-,1,Mixed-Inquiries,الاسعار ايه للشركات
نوع الجهاز ايه لو سمحتم وهل فيها آثار تغميق بعدها,obj,,1,General-Inquiry,نوع الجهاز ايه لو سمحتم وهل فيها اثار تغميق بعدها
بكام ونوع الجهاز اي,obj,price-,1,Price-Inquiry,بكام ونوع الجهاز اي
ممكن تفاصيل,obj,PriceBooking-,1,Booking-Inquiry,ممكن تفاصيل
الاسعار ايه وفى عروض والجهاز ايه,obj,price-,1,Price-Inquiry,الاسعار ايه وفي عروض والجهاز ايه
وده تكلفته كام,obj,price-,1,Price-Inquiry,وده تكلفته كام
تبع التعاقد ولا لا,obj,support-,1,Insurance-Inquiry,تبع التعاقد ولا لا
السلام عليكم لو سمحت في عندكم جلسات علاج طبيعي والجلسة بكام,obj,price-Medical_consult-support-,1,Mixed-Inquiries,السلام عليكم لو سمحت في عندكم جلسات علاج طبيعي والجلسة بكام
بكام سعر زراعه الشعر,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام سعر زراعه الشعر
تبع التعاقد ولو مش تبع التعاقد بكام,obj,price-support-,1,Mixed-Inquiries,تبع التعاقد ولو ما تبع التعاقد بكام
مفيش نماذج او حالات,obj,,0,General Conversation,مفيش نماذج او حالات
تبع التعاقد ولا خارج ,obj,support-,1,Insurance-Inquiry,تبع التعاقد ولا خارج
التكلفة كام لو سمحتم بليز,obj,price-,1,Price-Inquiry,التكلفة كام لو سمحتم بليز
التكلفة كام من فضلكوا,obj,price-,1,Price-Inquiry,التكلفة كام من فضلكوا
ممكن اعرف العنوان المستشفي فين يالظبط,obj,place-place-,1,Mixed-Inquiries,ممكن اعرف العنوان المستشفي فين يا لظبط
هوا الدكتور عوض الله مكى بييجى اندلسية المعادى او لا ومواعيده ايه ,obj,datetime-place-place-,1,Mixed-Inquiries,هوا الدكتور عوض الله مكي بيجي اندلسية المعادي او لا ومواعيده ايه
انا من اسكندريه وكنت عاوزه اعرف تكلفة كام,obj,price-place-,1,Mixed-Inquiries,انا من اسكندريه وكنت عاوزه اعرف تكلفة كام
التكلفه كام والنتائج بتظهر بعد اد اي فرع اسكندريه,obj,price-place-place-,1,Mixed-Inquiries,التكلفه كام والنتائج بتظهر بعد اد اي فرع اسكندريه
التكلفه كام فى اسكندريه,obj,price-place-,1,Mixed-Inquiries,التكلفه كام في اسكندريه
التكلفة كام ,obj,price-,1,Price-Inquiry,التكلفة كام
التكلفه شامله كام والنتائج مضمونه وأمان,obj,price-,1,Price-Inquiry,التكلفه شامله كام والنتائج مضمونه وامان
كل التخصصات ولا حمل بس,obj,,0,General Conversation,كل التخصصات ولا حمل بس
"أذكى إدارة هذه المستشفى لهذا النشاط الملحوظ  عن

 تجربة احي هذه الإدارة فلها الشكر",obj,service-,1,Services-Inquiry,اذكي ادارة هذه المستشفي لهذا النشاط الملحوظ عن تجربة احي هذه الادارة فلها الشكر
تحياتي لكل العاملين في الرعايه الطبيه وجزاهم الله خيرا الجزاء وسلام الله عليكم بالخير واليمن والبركات,pos,,0,Positive-Feedback,تحياتي لكل العاملين في الرعايه الطبيه وجزاهم الله خيرا الجزاء وسلام الله عليكم بالخير واليمن والبركات
من فضلك تليفون,obj,PriceBooking-place-,1,Mixed-Inquiries,من فضلك تليفون
كل التخصصات ولا الحمل بس,obj,,0,General Conversation,كل التخصصات ولا الحمل بس
 روفيدة روزانا,obj,,0,General Conversation,روفيدة روزانا
هل توجد فحوصات القلب فى المنزل والسعر كام والمنطقة سيدى بشر,obj,price-support-,1,Mixed-Inquiries,هل توجد فحوصات القلب في المنزل والسعر كام والمنطقة سيدي بشر
كل التخصصات,obj,,0,General Conversation,كل التخصصات
حاجه جميله جدا,pos,,0,Positive-Feedback,حاجه جميله جدا
ولاى مكان ولا داخل سموحه فقط,obj,place-place-,1,Mixed-Inquiries,ولاي مكان ولا داخل سموحه فقط
من فضلك سعر الولاده كام فى البيت,obj,price-place-,1,Mixed-Inquiries,من فضلك سعر الولاده كام في البيت
كشف زيارة منزلية  دكتور استاذ أو استشارى باطنه وسكر  بكام والمنطقة سيدي بشر,obj,price-Medical_consult-,1,Mixed-Inquiries,كشف زيارة منزلية دكتور استاذ او استشاري باطنه وسكر بكام والمنطقة سيدي بشر
عندكم د جهاز هضمى اسمة من فضللك,obj,support-,1,Insurance-Inquiry,عندكم د جهاز هضمي اسمة من فضللك
اللهم اشفي كل مريض بحولك وقوتك يا شافي يا معا في,obj,datetime-,1,Appointments-Inquiry,اللهم اشفي كل مريض بحولك وقوتك يا شافي يا معا في
جميع التخصصات حضرتك ولا ايه,obj,,1,General-Inquiry,جميع التخصصات حضرتك ولا ايه
وباسعار علية ولة فى المتناول,obj,price-,1,Price-Inquiry,وباسعار علية ولة في المتناول
ممكن اعرف اسامى دكاترة النسا الموجودين,obj,place-,1,Place-Inquiry,ممكن اعرف اسامي دكاترة النسا الموجودين
ممكن اعرف اسماء أطباء غدة درقية ومواعيدهم وشكرا,obj,datetime-,1,Appointments-Inquiry,ممكن اعرف اسماء اطباء غدة درقية ومواعيدهم وشكرا
ماشاء الله بالتوفيق يارب ,pos,,0,Positive-Feedback,ماشاء الله بالتوفيق يا رب
"Aya Gomaa
شبهك جدااا",obj,,0,General Conversation,aya gomaa شبهك جدا
بالتوفيق حبيبتي,pos,,0,Positive-Feedback,بالتوفيق حبيبتي
حبيبتي يا ناس,obj,,0,General Conversation,حبيبتي يا ناس
ااكشف بالحجز ولا اجي ع طول ,obj,,0,General Conversation,اكشف بالحجز ولا اجي ع طول
تابع للتعاقد الشركات ولا لا,obj,support-,1,Insurance-Inquiry,تابع للتعاقد الشركات ولا لا
ليلة ابراهيم,obj,,0,General Conversation,ليلة ابراهيم
ممكن اعرف الاندر ارم بيكلف كام فى الجلسع,obj,price-,1,Price-Inquiry,ممكن اعرف الاندر ارم بيكلف كام في الجلسع
ممكن رقمكم,obj,,1,General-Inquiry,ممكن رقمكم
البلص بكم وهل متواجد العرض فى فرعةسموحه,obj,price-,1,Price-Inquiry,البلص بكم وهل متواجد العرض في فرعةسموحه
تفاصيل ممكم,obj,PriceBooking-,1,Booking-Inquiry,تفاصيل ممكم
التفاصيل من فضلك,obj,PriceBooking-place-,1,Mixed-Inquiries,التفاصيل من فضلك
هل فيه قسم للرجالة,obj,support-,1,Insurance-Inquiry,هل فيه قسم للرجالة
ممكن اعرف البلصه بكام والجهاز المستخدم,obj,price-service-,1,Mixed-Inquiries,ممكن اعرف البلصه بكام والجهاز المستخدم
التفاصيل,obj,PriceBooking-,1,Booking-Inquiry,التفاصيل
التفاصيل من أفضل,obj,PriceBooking-,1,Booking-Inquiry,التفاصيل من افضل
التفاصيل ممكن,obj,PriceBooking-,1,Booking-Inquiry,التفاصيل ممكن
خلع في المنزل ولكان ضرس العفقل,obj,Medical_consult-,1,Medical-Consultation,خلع في المنزل ولكان ضرس العفقل
ازاي والمعدات هتجبوها البيت ,obj,,1,General-Inquiry,ازاي والمعدات تجبوها البيت
لو سمحت فيه عمل تقويم,obj,,1,General-Inquiry,لو سمحت فيه عمل تقويم
بكام الكشف المنزلى والخلع ,obj,price-,1,Price-Inquiry,بكام الكشف المنزلي والخلع
نعرف الكشف كام قبل الحجز,obj,price-,1,Price-Inquiry,نعرف الكشف كام قبل الحجز
الحشو العادى بكام والخلع العادى بكام,obj,price-,1,Price-Inquiry,الحشو العادي بكام والخلع العادي بكام
علاج العصب بكام,obj,price-Medical_consult-,1,Mixed-Inquiries,علاج العصب بكام
التفاصيل لو سمحت,obj,PriceBooking-,1,Booking-Inquiry,التفاصيل لو سمحت
